Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-example.basic.ig.json	2185	-	0	0	0	0	0	0	7	76	0	0	0	0	0	0	0	0	0	0	103	137	0	0	0	1	0	1
fsh-generated/resources/Patient-ExampleBasicPatient.json	431	12	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	84	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasicPatient.json	622	10	0	58	1	0	0	0	1	46	0	0	0	0	0	0	0	1	0	0	331	3102	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-FavoriteColor.json	1208	9	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	106	939	0	0	0	2	0	1
\fsh-generated\includes\fsh-link-references.md	165	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1000	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\changes.md	151	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
\input\pagecontent\index.md	171	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	2920	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
